9 #edges
0;12;21;26;32;38;40;41;57;59;67;79;82 9;10;11;30;50;56;58;65;81;85;93
0;12;21;26;32;38;40;41;57;59;67;79;82 2;13;17;19;24;29;46;47;48;49;54;75;88
0;12;21;26;32;38;40;41;57;59;67;79;82 4;14;52;66;77;78;80;87
9;10;11;30;50;56;58;65;81;85;93 8;34;35;51;64;71;76;86;89;92;99
2;13;17;19;24;29;46;47;48;49;54;75;88 6;31;69;72;98
2;13;17;19;24;29;46;47;48;49;54;75;88 5;15;16;23;25;36;39;42;43;53;55;73;83;95;97
6;31;69;72;98 7;27;28;33;60;61;63;68;70;74;90;91;96
5;15;16;23;25;36;39;42;43;53;55;73;83;95;97 3;18;20;22;45;84
5;15;16;23;25;36;39;42;43;53;55;73;83;95;97 1;37;44;62;94
5 #leaves
4;14;52;66;77;78;80;87 
1;37;44;62;94 
3;18;20;22;45;84 
7;27;28;33;60;61;63;68;70;74;90;91;96 
8;34;35;51;64;71;76;86;89;92;99 
