9 #edges
0;10;17;38;41;45;55;66;67;75 9;24;29;33;35;37;51;65;73;78;88;89;95
0;10;17;38;41;45;55;66;67;75 2;11;13;40;43;46;52;57;64;80;82;85
0;10;17;38;41;45;55;66;67;75 4;25;28;42;61;71;79;84;96;99
9;24;29;33;35;37;51;65;73;78;88;89;95 8;12;48;49;53;54;60;72;81;92
2;11;13;40;43;46;52;57;64;80;82;85 6;23;58;76;91;94
2;11;13;40;43;46;52;57;64;80;82;85 5;18;21;22;27;56;68;86;90
6;23;58;76;91;94 7;15;16;20;31;32;36;59;62;63;70;83;93
5;18;21;22;27;56;68;86;90 3;19;26;30;34;50;97;98
5;18;21;22;27;56;68;86;90 1;14;39;44;47;69;74;77;87
5 #leaves
4;25;28;42;61;71;79;84;96;99 
1;14;39;44;47;69;74;77;87 
3;19;26;30;34;50;97;98 
7;15;16;20;31;32;36;59;62;63;70;83;93 
8;12;48;49;53;54;60;72;81;92 
