9 #edges
0;47;67;87;91 2;15;18;24;33;43;54;60;62;80
0;47;67;87;91 5;21;27;28;30;31;61;63;73;74;77;99
0;47;67;87;91 7;14;32;40;78;81;86
2;15;18;24;33;43;54;60;62;80 6;10;13;36;64;65;85;92;93
6;10;13;36;64;65;85;92;93 9;20;26;52;53;75;83;95
6;10;13;36;64;65;85;92;93 1;29;38;41;45;71;82;88;97
5;21;27;28;30;31;61;63;73;74;77;99 8;16;17;19;22;34;39;50;51;56;59;68;69;72;76;84;89;98
5;21;27;28;30;31;61;63;73;74;77;99 3;11;23;25;35;37;44;46;79;96
8;16;17;19;22;34;39;50;51;56;59;68;69;72;76;84;89;98 4;12;42;48;49;55;57;58;66;70;90;94
5 #leaves
7;14;32;40;78;81;86 
3;11;23;25;35;37;44;46;79;96 
4;12;42;48;49;55;57;58;66;70;90;94 
1;29;38;41;45;71;82;88;97 
9;20;26;52;53;75;83;95 
