9 #edges
0;11;17;20;29;51;64;69;76;96 2;12;14;34;37;39;44;71
0;11;17;20;29;51;64;69;76;96 5;30;50;52;53;57;60;61;75;80;81;84;86;89;92
0;11;17;20;29;51;64;69;76;96 7;22;25;26;27;35;40;43;56;67;72;83
2;12;14;34;37;39;44;71 6;21;38;65;66;70;73;78;79;82;93;94
6;21;38;65;66;70;73;78;79;82;93;94 9;10;16;23;33;36;46;47;49;74;77;99
6;21;38;65;66;70;73;78;79;82;93;94 1;19;54;58;62;91
5;30;50;52;53;57;60;61;75;80;81;84;86;89;92 8;13;15;41;42;48;55;59;63;88
5;30;50;52;53;57;60;61;75;80;81;84;86;89;92 3;18;85
8;13;15;41;42;48;55;59;63;88 4;24;28;31;32;45;68;87;90;95;97;98
5 #leaves
7;22;25;26;27;35;40;43;56;67;72;83 
3;18;85 
4;24;28;31;32;45;68;87;90;95;97;98 
1;19;54;58;62;91 
9;10;16;23;33;36;46;47;49;74;77;99 
