9 #edges
0;10;11;15;21;22;43;62;64;70;73;82 2;17;23;65;67;87;90;92;97
0;10;11;15;21;22;43;62;64;70;73;82 5;14;18;30;59;60;83
0;10;11;15;21;22;43;62;64;70;73;82 7;19;31;46;50;55;75;78;79;80;88;93;96
2;17;23;65;67;87;90;92;97 6;26;33;34;47;51;54;74;91
6;26;33;34;47;51;54;74;91 9;25;27;36;63;69;76;86;89;99
6;26;33;34;47;51;54;74;91 1;16;28;39;48;57;58;72
5;14;18;30;59;60;83 8;20;24;32;37;40;41;44;45;52;61;66;68;94;95
5;14;18;30;59;60;83 3;12;38;56;71
8;20;24;32;37;40;41;44;45;52;61;66;68;94;95 4;13;29;35;42;49;53;77;81;84;85;98
5 #leaves
7;19;31;46;50;55;75;78;79;80;88;93;96 
3;12;38;56;71 
4;13;29;35;42;49;53;77;81;84;85;98 
1;16;28;39;48;57;58;72 
9;25;27;36;63;69;76;86;89;99 
