"cell_id"	"var0"	"var1"	"var2"	"var3"	"var4"	"var5"	"var6"	"var7"	"var8"	"var9"
"c1"	0	0	0	0	0	0	0	2	0	0
"c2"	2	0	0	0	0	1	0	0	0	0
"c3"	1	0	0	0	0	2	0	0	1	0
"c4"	0	0	0	0	0	0	0	0	2	0
"c5"	0	0	0	0	0	2	0	0	0	0
"c6"	0	3	1	0	0	0	0	0	0	0
"c7"	1	0	0	3	0	0	3	0	0	0
"c8"	1	0	0	0	0	0	3	0	0	0
"c9"	1	0	0	0	0	2	0	0	0	0
"c10"	0	0	0	0	0	0	0	0	0	0
"c11"	1	0	0	0	0	0	0	0	0	3
"c12"	0	0	1	0	0	0	0	0	0	3
"c13"	0	0	0	0	0	2	0	0	0	0
"c14"	0	0	0	0	0	3	0	0	1	0
"c15"	2	3	0	3	0	0	1	0	0	0
"c16"	1	0	0	0	0	0	1	0	0	0
"c17"	1	0	0	0	0	1	0	0	0	0
"c18"	0	0	0	0	0	1	0	0	1	0
"c19"	1	0	0	0	0	0	0	0	0	0
"c20"	0	2	0	0	0	0	2	0	0	0
"c21"	0	0	1	0	0	0	0	0	0	0
"c22"	0	0	1	0	0	0	0	0	0	0
"c23"	1	0	0	0	0	1	0	0	2	0
"c24"	2	0	0	0	0	0	2	0	0	0
"c25"	3	0	0	0	0	2	0	0	1	0
"c26"	0	0	3	0	0	0	2	0	0	3
"c27"	0	0	1	0	0	0	1	3	0	0
"c28"	1	0	0	0	0	0	0	0	0	3
"c29"	0	0	2	0	0	0	0	0	0	0
"c30"	1	0	0	0	0	0	0	0	1	0
"c31"	0	0	0	0	0	0	0	0	0	0
"c32"	2	0	0	2	0	0	0	0	0	0
"c33"	2	0	3	0	0	1	0	0	1	0
"c34"	2	3	0	0	0	0	0	1	0	0
"c35"	1	0	1	0	0	0	2	0	0	0
"c36"	2	0	0	0	0	2	0	0	0	0
"c37"	1	0	0	0	0	0	0	0	0	0
"c38"	0	0	1	0	0	0	0	0	0	0
"c39"	1	0	0	0	0	1	0	0	0	0
"c40"	3	0	2	0	0	0	0	0	0	0
"c41"	0	0	0	0	0	1	0	0	1	0
"c42"	2	0	0	0	0	1	0	0	0	3
"c43"	2	0	0	0	3	3	0	0	1	0
"c44"	1	0	0	0	1	2	0	0	2	0
"c45"	1	1	2	0	0	0	2	0	0	0
"c46"	2	0	0	3	0	0	2	0	0	0
"c47"	1	3	1	0	3	0	1	0	0	0
"c48"	0	0	0	0	0	2	0	3	3	0
"c49"	0	0	0	0	0	2	0	0	0	3
"c50"	2	0	0	0	1	2	0	0	0	0
"c51"	2	2	1	0	0	0	2	0	0	0
"c52"	1	0	0	3	0	0	1	0	3	3
"c53"	2	0	0	0	0	0	0	0	0	0
"c54"	2	0	0	0	0	0	0	0	0	3
"c55"	1	0	0	0	0	0	0	0	0	0
"c56"	1	0	0	0	0	0	0	0	0	0
"c57"	0	0	0	0	0	0	0	0	0	0
"c58"	1	0	3	0	1	2	0	0	1	0
"c59"	2	0	0	0	0	1	0	0	0	0
"c60"	0	0	0	1	0	0	0	0	0	0
"c61"	0	0	0	0	3	2	0	0	2	0
"c62"	0	0	0	1	0	1	0	0	0	0
"c63"	1	0	0	0	0	0	0	0	1	0
"c64"	0	0	0	0	0	3	0	0	0	0
"c65"	1	0	0	0	0	0	1	0	0	0
"c66"	1	0	1	0	3	0	0	0	0	0
"c67"	1	1	1	0	0	0	1	0	0	0
"c68"	0	0	0	0	0	1	0	0	1	0
"c69"	0	0	0	0	0	1	0	0	2	0
"c70"	2	0	0	0	0	3	0	0	3	0
"c71"	1	0	3	0	0	0	0	3	0	0
"c72"	2	0	2	0	0	0	0	0	0	0
"c73"	1	0	0	0	0	3	1	0	0	0
"c74"	1	0	1	0	0	0	0	0	0	0
"c75"	2	1	1	0	0	0	0	0	0	0
"c76"	2	0	0	0	0	0	0	1	0	0
"c77"	1	1	1	0	0	0	3	0	0	0
"c78"	0	0	0	0	2	0	0	0	2	0
"c79"	2	0	0	0	0	0	0	0	0	0
"c80"	0	0	0	0	0	3	0	0	1	0
"c81"	2	0	2	0	0	0	3	0	0	3
"c82"	1	0	0	0	0	0	0	0	0	0
"c83"	1	2	0	0	0	0	2	0	0	0
"c84"	1	0	0	0	0	2	0	0	0	0
"c85"	0	0	0	0	3	3	0	2	0	0
"c86"	1	0	0	0	0	0	0	0	0	0
"c87"	1	0	2	0	0	0	0	0	0	0
"c88"	1	0	0	0	0	0	0	0	0	0
"c89"	1	0	0	0	0	0	0	0	0	0
"c90"	0	0	0	0	0	1	0	0	0	0
"c91"	3	3	2	0	0	0	2	0	0	0
"c92"	2	0	0	3	0	1	3	0	0	0
"c93"	1	0	0	0	0	0	0	0	0	0
"c94"	2	0	0	0	0	2	0	0	0	0
"c95"	1	0	1	0	0	0	2	0	0	0
"c96"	2	0	0	0	3	0	1	0	0	0
"c97"	0	0	0	0	0	0	0	0	0	0
"c98"	2	0	0	0	0	0	0	0	3	0
"c99"	3	0	0	2	0	2	0	0	0	0
"c100"	2	2	2	0	0	0	0	0	0	0
"c101"	0	0	0	0	0	2	0	0	0	0
"c102"	1	0	0	0	0	1	1	0	0	0
"c103"	1	0	1	0	0	0	1	0	3	0
"c104"	2	2	1	0	3	0	1	0	0	0
"c105"	1	0	1	0	0	3	3	0	0	0
"c106"	0	0	0	0	0	1	0	0	0	0
"c107"	0	0	0	0	0	2	0	0	1	0
"c108"	2	0	0	0	2	2	0	0	1	3
"c109"	0	0	0	0	0	0	0	0	0	0
"c110"	0	0	3	0	0	0	0	0	3	0
"c111"	3	0	0	0	0	0	0	0	0	0
"c112"	0	0	0	0	0	1	0	0	0	0
"c113"	2	0	0	0	0	0	0	0	0	0
"c114"	0	0	0	0	0	3	0	0	0	0
"c115"	1	1	2	0	0	0	1	0	0	0
"c116"	2	0	0	0	0	0	0	0	0	0
"c117"	2	0	0	0	0	2	0	0	1	0
"c118"	1	0	0	0	0	0	0	0	0	0
"c119"	1	0	1	0	0	0	2	0	0	0
"c120"	0	0	0	0	0	0	0	0	0	0
"c121"	1	0	2	0	0	0	0	0	0	0
"c122"	0	0	0	0	0	0	0	0	0	0
"c123"	2	0	0	0	0	1	0	0	0	0
"c124"	1	0	0	0	0	0	0	0	1	0
"c125"	1	0	0	0	0	0	0	0	1	0
"c126"	2	0	0	0	0	0	0	0	0	0
"c127"	0	0	0	0	0	0	0	0	0	0
"c128"	1	0	0	0	0	0	0	0	0	0
"c129"	0	0	2	0	0	0	2	0	0	0
"c130"	3	0	0	0	0	2	0	0	2	0
"c131"	3	0	0	0	0	2	0	0	0	0
"c132"	0	0	0	0	1	1	0	0	0	0
"c133"	0	0	2	0	0	0	1	0	0	0
"c134"	1	0	0	0	0	0	0	3	0	0
"c135"	1	0	1	0	0	0	1	0	0	0
"c136"	2	0	0	0	0	0	0	0	0	0
"c137"	1	0	0	1	0	0	0	0	0	0
"c138"	2	0	1	0	0	1	1	0	0	0
