9 #edges
0;16;21;28;48;53;56;87;89;92;98;99 2;23;58;60;65;80;85
0;16;21;28;48;53;56;87;89;92;98;99 5;12;13;27;32;33;36;38;41;44;62;64;76;88;91;97
0;16;21;28;48;53;56;87;89;92;98;99 7;19;24;35;55;74;83;84;96
2;23;58;60;65;80;85 6;17;18;22;25;30;31;34;45;46;57;67;73;75;78;79;95
6;17;18;22;25;30;31;34;45;46;57;67;73;75;78;79;95 9;26;29;51;69;82;90
6;17;18;22;25;30;31;34;45;46;57;67;73;75;78;79;95 1;10;14;43;52;54;61;86
5;12;13;27;32;33;36;38;41;44;62;64;76;88;91;97 8;11;15;40;66;70;71;77
5;12;13;27;32;33;36;38;41;44;62;64;76;88;91;97 3;37;63;72;94
8;11;15;40;66;70;71;77 4;20;39;42;47;49;50;59;68;81;93
5 #leaves
7;19;24;35;55;74;83;84;96 
3;37;63;72;94 
4;20;39;42;47;49;50;59;68;81;93 
1;10;14;43;52;54;61;86 
9;26;29;51;69;82;90 
