9 #edges
0;11;37;39;40;63;72;78;82;93;99 9;54;64;77;85;88;89
0;11;37;39;40;63;72;78;82;93;99 2;16;18;19;29;31;33;34;43;46;56;74;86;90
9;54;64;77;85;88;89 7;10;22;26;52;55;66;67;95
7;10;22;26;52;55;66;67;95 4;12;42;48;49;62;76;87
4;12;42;48;49;62;76;87 8;14;21;28;35;38;57;61;81;97;98
8;14;21;28;35;38;57;61;81;97;98 1;13;17;32;58;65;70
8;14;21;28;35;38;57;61;81;97;98 3;23;36;41;51;60;69;71;75;79;84;92
1;13;17;32;58;65;70 5;20;25;27;45;47;50;53;59;68;73;91
5;20;25;27;45;47;50;53;59;68;73;91 6;15;24;30;44;80;83;94;96
3 #leaves
2;16;18;19;29;31;33;34;43;46;56;74;86;90 
3;23;36;41;51;60;69;71;75;79;84;92 
6;15;24;30;44;80;83;94;96 
