9 #edges
0;33;64;76;83;84;90;92 9;18;28;32;53;61;68;93
0;33;64;76;83;84;90;92 2;11;14;15;39;45;46;66;86;99
0;33;64;76;83;84;90;92 4;12;25;31;34;37;55;72;89
9;18;28;32;53;61;68;93 8;13;16;20;23;24;38;48;49;51;57;73;74;75;85;95;98
2;11;14;15;39;45;46;66;86;99 6;22;26;27;44;56;60;91;97
2;11;14;15;39;45;46;66;86;99 5;21;35;42;50;54;59;62;67;69;81;87
6;22;26;27;44;56;60;91;97 7;17;30;58;65;71;80
5;21;35;42;50;54;59;62;67;69;81;87 3;10;19;29;40;43;47;77;79;82;96
5;21;35;42;50;54;59;62;67;69;81;87 1;36;41;52;63;70;78;88;94
5 #leaves
4;12;25;31;34;37;55;72;89 
1;36;41;52;63;70;78;88;94 
3;10;19;29;40;43;47;77;79;82;96 
7;17;30;58;65;71;80 
8;13;16;20;23;24;38;48;49;51;57;73;74;75;85;95;98 
