9 #edges
0;23;54;66;73;74;80;82 9;18;22;43;51;58;83;91;95
0;23;54;66;73;74;80;82 2;29;35;36;56;76;89;98
0;23;54;66;73;74;80;82 4;15;21;24;27;45;62;79;90
9;18;22;43;51;58;83;91;95 8;10;13;14;28;38;39;41;47;63;64;65;75;85;88
2;29;35;36;56;76;89;98 6;12;16;17;34;46;50;81;87;96;99
2;29;35;36;56;76;89;98 5;11;25;32;40;44;49;52;57;59;71;77;92;94;97
6;12;16;17;34;46;50;81;87;96;99 7;20;48;55;61;70
5;11;25;32;40;44;49;52;57;59;71;77;92;94;97 3;19;30;33;37;67;69;72;86;93
5;11;25;32;40;44;49;52;57;59;71;77;92;94;97 1;26;31;42;53;60;68;78;84
5 #leaves
4;15;21;24;27;45;62;79;90 
1;26;31;42;53;60;68;78;84 
3;19;30;33;37;67;69;72;86;93 
7;20;48;55;61;70 
8;10;13;14;28;38;39;41;47;63;64;65;75;85;88 
