9 #edges
0;23;26;33;54;57;61;71;82;83;91 9;10;17;40;45;49;51;53;67;81;89;94
0;23;26;33;54;57;61;71;82;83;91 2;21;27;29;56;59;62;68;73;80;96;98
0;23;26;33;54;57;61;71;82;83;91 4;15;24;41;44;58;77;87;95
9;10;17;40;45;49;51;53;67;81;89;94 8;13;18;28;64;65;69;70;76;88;97
2;21;27;29;56;59;62;68;73;80;96;98 6;19;25;39;74;92
2;21;27;29;56;59;62;68;73;80;96;98 5;34;37;38;43;72;84
6;19;25;39;74;92 7;11;12;14;31;32;36;47;48;52;75;78;79;86;99
5;34;37;38;43;72;84 3;35;42;46;50;66
5;34;37;38;43;72;84 1;16;20;22;30;55;60;63;85;90;93
5 #leaves
4;15;24;41;44;58;77;87;95 
1;16;20;22;30;55;60;63;85;90;93 
3;35;42;46;50;66 
7;11;12;14;31;32;36;47;48;52;75;78;79;86;99 
8;13;18;28;64;65;69;70;76;88;97 
