9 #edges
0;32;38;66;76;79;94 3;10;13;30;39;40;73;82;99
3;10;13;30;39;40;73;82;99 5;15;16;24;26;33;35;51;52;68;78;83;86;88;95
3;10;13;30;39;40;73;82;99 8;27;31;42;43;49;67;80;92
5;15;16;24;26;33;35;51;52;68;78;83;86;88;95 6;20;25;44;46;61
5;15;16;24;26;33;35;51;52;68;78;83;86;88;95 7;36;41;62;71;72;84;85;91;96
6;20;25;44;46;61 2;21;53;56;57;58;59;60;65;70;74;77;89;93
6;20;25;44;46;61 1;12;28;34;48;81;97
2;21;53;56;57;58;59;60;65;70;74;77;89;93 9;11;14;18;19;22;23;37;54;63;87;90
7;36;41;62;71;72;84;85;91;96 4;17;29;45;47;50;55;64;69;75;98
4 #leaves
8;27;31;42;43;49;67;80;92 
4;17;29;45;47;50;55;64;69;75;98 
1;12;28;34;48;81;97 
9;11;14;18;19;22;23;37;54;63;87;90 
