9 #edges
0;12;20;29;46;59;65;73;81 1;18;22;23;40;47;53;72;74;76;78;97
1;18;22;23;40;47;53;72;74;76;78;97 3;13;16;25;33;42;50;51;66;79;86
3;13;16;25;33;42;50;51;66;79;86 9;10;14;28;37;56;62;70;77;85;89;91
3;13;16;25;33;42;50;51;66;79;86 5;19;21;44;45;48;52;57;61;75;94
3;13;16;25;33;42;50;51;66;79;86 6;11;30;34;38;67;82
5;19;21;44;45;48;52;57;61;75;94 7;15;31;49;55;63;80;92;93;96
7;15;31;49;55;63;80;92;93;96 8;24;39;58;64;83;90;95;99
6;11;30;34;38;67;82 4;17;26;27;35;43;68;71;84;87;88
4;17;26;27;35;43;68;71;84;87;88 2;32;36;41;54;60;69;98
3 #leaves
2;32;36;41;54;60;69;98 
8;24;39;58;64;83;90;95;99 
9;10;14;28;37;56;62;70;77;85;89;91 
