9 #edges
0;29;34;46;57;60;72;84;95;98 1;14;15;24;28;31;37;43;44;48;52;66;75;82;91;92
1;14;15;24;28;31;37;43;44;48;52;66;75;82;91;92 3;13;32;35;41;53;64;68;71;73
3;13;32;35;41;53;64;68;71;73 9;21;49;50
3;13;32;35;41;53;64;68;71;73 5;17;20;25;40;55;58;61;65;70;85;86
3;13;32;35;41;53;64;68;71;73 6;12;42;51;59;74;76;89;93;96
5;17;20;25;40;55;58;61;65;70;85;86 7;19;47;69;83;99
7;19;47;69;83;99 8;11;18;23;36;39;56;62;77;81;87;90;97
6;12;42;51;59;74;76;89;93;96 4;10;16;27;33;38;54;67;79;80;88;94
4;10;16;27;33;38;54;67;79;80;88;94 2;22;26;30;45;63;78
3 #leaves
2;22;26;30;45;63;78 
8;11;18;23;36;39;56;62;77;81;87;90;97 
9;21;49;50 
