9 #edges
0;17;26;43;56;62;70;78 1;15;19;20;37;44;50;69;71;73;75;94
1;15;19;20;37;44;50;69;71;73;75;94 3;10;13;22;30;39;47;48;63;76;83
3;10;13;22;30;39;47;48;63;76;83 9;11;25;34;53;59;67;74;82;86;88;97
3;10;13;22;30;39;47;48;63;76;83 5;16;18;41;42;45;49;54;58;72;91
3;10;13;22;30;39;47;48;63;76;83 6;27;31;35;64;79
5;16;18;41;42;45;49;54;58;72;91 7;12;28;46;52;60;77;89;90;93
7;12;28;46;52;60;77;89;90;93 8;21;36;55;61;80;87;92;96
6;27;31;35;64;79 4;14;23;24;32;40;65;68;81;84;85;98;99
4;14;23;24;32;40;65;68;81;84;85;98;99 2;29;33;38;51;57;66;95
3 #leaves
2;29;33;38;51;57;66;95 
8;21;36;55;61;80;87;92;96 
9;11;25;34;53;59;67;74;82;86;88;97 
