9 #edges
0;13;25;36;39;51;63;74;77;80 1;10;16;22;23;27;31;45;54;61;70;71;99
1;10;16;22;23;27;31;45;54;61;70;71;99 3;11;14;20;32;43;47;50;52;79;85
3;11;14;20;32;43;47;50;52;79;85 9;28;29;82;90
3;11;14;20;32;43;47;50;52;79;85 5;19;34;37;40;44;49;64;65;87;98
3;11;14;20;32;43;47;50;52;79;85 6;21;30;38;53;55;68;72;75;81
5;19;34;37;40;44;49;64;65;87;98 7;26;48;62;78;96
7;26;48;62;78;96 8;15;18;35;41;56;60;66;69;76;88;91;93;95
6;21;30;38;53;55;68;72;75;81 4;12;17;33;46;58;59;67;73;89;94;97
4;12;17;33;46;58;59;67;73;89;94;97 2;24;42;57;83;84;86;92
3 #leaves
2;24;42;57;83;84;86;92 
8;15;18;35;41;56;60;66;69;76;88;91;93;95 
9;28;29;82;90 
