9 #edges
0;27;35;44;61;74;80;88;96 1;22;33;37;38;55;62;68;87;89;91;93
1;22;33;37;38;55;62;68;87;89;91;93 3;28;31;40;48;57;65;66;81;94
3;28;31;40;48;57;65;66;81;94 9;17;18;21;24;25;29;43;52;71;77;85;92
3;28;31;40;48;57;65;66;81;94 5;14;23;34;36;59;60;63;67;72;76;90
3;28;31;40;48;57;65;66;81;94 6;10;16;26;45;49;53;82;97
5;14;23;34;36;59;60;63;67;72;76;90 7;30;46;64;70;78;95
7;30;46;64;70;78;95 8;13;15;20;39;54;73;79;98
6;10;16;26;45;49;53;82;97 4;12;32;41;42;50;58;83;86;99
4;12;32;41;42;50;58;83;86;99 2;11;19;47;51;56;69;75;84
3 #leaves
2;11;19;47;51;56;69;75;84 
8;13;15;20;39;54;73;79;98 
9;17;18;21;24;25;29;43;52;71;77;85;92 
