loci,clone_id,snv_cluster,allele_affected,adjustment
2,3,2;29;33;38;51;57;66;95,Ref,-1
4,4,4;14;23;24;32;40;65;68;81;84;85;98;99,Ref,-1
7,2,7;12;28;46;52;60;77;89;90;93,Ref,-1
8,8,8;21;36;55;61;80;87;92;96,Alt,-1
10,0,,Ref,-1
13,7,,Ref,-1
14,4,,Ref,-1
15,7,,Ref,-1
16,0,,Ref,-1
17,5,,Ref,-1
18,0,,Ref,-1
21,8,,Ref,-1
27,2,,Alt,-1
28,4,,Ref,-1
29,3,,Ref,-1
39,6,,Ref,-1
41,6,,Ref,-1
42,1,,Ref,-1
45,2,,Ref,-1
46,2,,Ref,-1
49,9,,Ref,-1
50,7,,Alt,-1
55,6,,Ref,-1
56,2,,Alt,-1
59,7,,Ref,-1
60,8,,Alt,-1
63,5,,Alt,-1
65,4,,Alt,-1
67,4,,Ref,-1
68,4,,Ref,-1
70,6,,Alt,-1
73,8,,Alt,-1
74,1,,Ref,-1
76,5,,Alt,-1
77,8,,Ref,-1
78,7,,Alt,-1
79,3,,Ref,-1
80,6,,Ref,-1
81,2,,Ref,-1
82,7,,Ref,-1
85,3,,Ref,-1
86,9,,Ref,-1
88,8,,Ref,-1
90,9,,Ref,-1
91,7,,Ref,-1
94,5,,Ref,-1
95,1,,Ref,-1
97,5,,Ref,-1
99,7,,Ref,-1
