9 #edges
0;15;23;28;76;79;90 1;14;20;44
1;14;20;44 3;11;36;43;46;49;54;65;70;71;73;74;88
3;11;36;43;46;49;54;65;70;71;73;74;88 9;16;21;41;58;59;68;93;97
3;11;36;43;46;49;54;65;70;71;73;74;88 5;10;25;26;34;35;37;38;57;85;87;91;94
3;11;36;43;46;49;54;65;70;71;73;74;88 6;19;22;29;47;53;61;63;75;78;83;89;92;99
5;10;25;26;34;35;37;38;57;85;87;91;94 7;12;24;32;39;45;48;50;56;67
7;12;24;32;39;45;48;50;56;67 8;30;31;51;69;72;80;82;95;96;98
6;19;22;29;47;53;61;63;75;78;83;89;92;99 4;13;17;27;33;42;52;55;60;62;66;86
4;13;17;27;33;42;52;55;60;62;66;86 2;18;40;64;77;81;84
3 #leaves
2;18;40;64;77;81;84 
8;30;31;51;69;72;80;82;95;96;98 
9;16;21;41;58;59;68;93;97 
