9 #edges
0;36;42;68;73;78;82;91;92 3;15;21;34;48;74;75;76;80;90
3;15;21;34;48;74;75;76;80;90 5;12;19;24;38;51;59;62;69;81
3;15;21;34;48;74;75;76;80;90 8;18;20;41;50;70;77;79;83;87;89
5;12;19;24;38;51;59;62;69;81 6;40;45;46;57;58;61;84;88;93;97
5;12;19;24;38;51;59;62;69;81 7;35;52;65;71;72;94;95;96;99
6;40;45;46;57;58;61;84;88;93;97 2;17;27;28;37;39;47;54;56;67;86
6;40;45;46;57;58;61;84;88;93;97 1;10;11;22;29;31;44;49;55;60;63;66
2;17;27;28;37;39;47;54;56;67;86 9;14;23;25;64;85
7;35;52;65;71;72;94;95;96;99 4;13;16;26;30;32;33;43;53;98
4 #leaves
8;18;20;41;50;70;77;79;83;87;89 
4;13;16;26;30;32;33;43;53;98 
1;10;11;22;29;31;44;49;55;60;63;66 
9;14;23;25;64;85 
