9 #edges
0;11;15;23;33;35;39;41;46;50;53;59;89;95 3;12;44;48;68;74;87
3;12;44;48;68;74;87 5;21;27;28;32;36;40;62;65;72;77;91
3;12;44;48;68;74;87 8;16;26;29;30;43;56;57;58;71;73;94
5;21;27;28;32;36;40;62;65;72;77;91 6;20;45;60;61;93;98;99
5;21;27;28;32;36;40;62;65;72;77;91 7;14;19;34;38;47;49;88
6;20;45;60;61;93;98;99 2;13;22;24;25;51;55;70;80;81;90;92
6;20;45;60;61;93;98;99 1;31;54;63;64;75;82;84;97
2;13;22;24;25;51;55;70;80;81;90;92 9;17;18;52;67;76;78
7;14;19;34;38;47;49;88 4;10;37;42;66;69;79;83;85;86;96
4 #leaves
8;16;26;29;30;43;56;57;58;71;73;94 
4;10;37;42;66;69;79;83;85;86;96 
1;31;54;63;64;75;82;84;97 
9;17;18;52;67;76;78 
