9 #edges
0;10;40;46;72;77;82;86;95;96 3;19;25;38;52;78;79;80;84;94
3;19;25;38;52;78;79;80;84;94 5;13;16;23;28;42;55;63;66;73;85
3;19;25;38;52;78;79;80;84;94 8;22;24;45;54;74;81;83;87;91;93
5;13;16;23;28;42;55;63;66;73;85 6;11;12;44;49;50;61;62;65;88;92;97
5;13;16;23;28;42;55;63;66;73;85 7;39;56;69;75;76;98;99
6;11;12;44;49;50;61;62;65;88;92;97 2;21;31;32;41;43;51;58;60;71;90
6;11;12;44;49;50;61;62;65;88;92;97 1;14;15;26;33;35;48;53;59;64;67;70
2;21;31;32;41;43;51;58;60;71;90 9;18;27;29;68;89
7;39;56;69;75;76;98;99 4;17;20;30;34;36;37;47;57
4 #leaves
8;22;24;45;54;74;81;83;87;91;93 
4;17;20;30;34;36;37;47;57 
1;14;15;26;33;35;48;53;59;64;67;70 
9;18;27;29;68;89 
