9 #edges
0;19;34;53;54;55;57;62;69;83;85;91 3;10;13;25;33;42;59;66;77;92;97;98
3;10;13;25;33;42;59;66;77;92;97;98 5;14;24;27;32;36;46;47;51;61;74;80
3;10;13;25;33;42;59;66;77;92;97;98 8;15;16;18;40;41;44;45;63;72;84;90
5;14;24;27;32;36;46;47;51;61;74;80 6;52;58;70;76;79;81;88;94
5;14;24;27;32;36;46;47;51;61;74;80 7;26;50;65;82;86;87
6;52;58;70;76;79;81;88;94 2;11;17;28;37;39;43;67;73;78;93;99
6;52;58;70;76;79;81;88;94 1;29;48;49;71
2;11;17;28;37;39;43;67;73;78;93;99 9;12;20;21;31;35;60;64;68;89
7;26;50;65;82;86;87 4;22;23;30;38;56;75;95;96
4 #leaves
8;15;16;18;40;41;44;45;63;72;84;90 
4;22;23;30;38;56;75;95;96 
1;29;48;49;71 
9;12;20;21;31;35;60;64;68;89 
