9 #edges
0;19;26;51;57;58;61;63;82;86;90 9;20;40;42;45;52;85;94
0;19;26;51;57;58;61;63;82;86;90 2;31;53;59;67;69;73;76;79;87
9;20;40;42;45;52;85;94 7;10;16;29;48;71;98
7;10;16;29;48;71;98 4;17;24;41;49;65;72;74;78;80;91;95
4;17;24;41;49;65;72;74;78;80;91;95 8;18;25;33;36;44;50;54;66;68;84
8;18;25;33;36;44;50;54;66;68;84 1;12;14;21;27;30;35;64;75;81;83;92;97
8;18;25;33;36;44;50;54;66;68;84 3;11;13;15;37;38;43;62;88;96;99
1;12;14;21;27;30;35;64;75;81;83;92;97 5;23;28;32;39;47;70;93
5;23;28;32;39;47;70;93 6;22;34;46;55;56;60;77;89
3 #leaves
2;31;53;59;67;69;73;76;79;87 
3;11;13;15;37;38;43;62;88;96;99 
6;22;34;46;55;56;60;77;89 
