9 #edges
0;21;23;25;28;47;48;58;68;79;84 9;13;20;26;32;33;49;53;60;71;82
0;21;23;25;28;47;48;58;68;79;84 2;35;36;55;63;69;78;89;91;92
9;13;20;26;32;33;49;53;60;71;82 7;46;50;51;56;59;61;72;77;83;95;99
7;46;50;51;56;59;61;72;77;83;95;99 4;15;30;39;43;52;81;85
4;15;30;39;43;52;81;85 8;10;11;22;24;62;74;87;94
8;10;11;22;24;62;74;87;94 1;34;45;57;66;67;86;90
8;10;11;22;24;62;74;87;94 3;12;17;18;42;44;64;70;75;76;80;96
1;34;45;57;66;67;86;90 5;16;31;38;73;93;98
5;16;31;38;73;93;98 6;14;19;27;29;37;40;41;54;65;88;97
3 #leaves
2;35;36;55;63;69;78;89;91;92 
3;12;17;18;42;44;64;70;75;76;80;96 
6;14;19;27;29;37;40;41;54;65;88;97 
